,item_name,item_price
281,Steak Salad Bowl,23.78
445,Bowl,22.2
4,Chicken Bowl,16.98
1229,Barbacoa Salad Bowl,11.89
1132,Carnitas Salad Bowl,11.89
7,Steak Burrito,11.75
39,Barbacoa Bowl,11.75
168,Barbacoa Crispy Tacos,11.75
186,Veggie Salad Bowl,11.25
738,Veggie Soft Tacos,11.25
57,Veggie Burrito,11.25
62,Veggie Bowl,11.25
250,Chicken Salad,10.98
92,Steak Crispy Tacos,9.25
237,Carnitas Soft Tacos,9.25
554,Carnitas Crispy Tacos,9.25
8,Steak Soft Tacos,9.25
56,Barbacoa Soft Tacos,9.25
54,Steak Bowl,8.99
664,Steak Salad,8.99
3750,Carnitas Salad,8.99
33,Carnitas Bowl,8.99
27,Carnitas Burrito,8.99
21,Barbacoa Burrito,8.99
44,Chicken Salad Bowl,8.75
11,Chicken Crispy Tacos,8.75
12,Chicken Soft Tacos,8.75
16,Chicken Burrito,8.49
1694,Veggie Salad,8.49
1653,Veggie Crispy Tacos,8.49
1414,Salad,7.4
520,Crispy Tacos,7.4
510,Burrito,7.4
298,6 Pack Soft Drink,6.49
10,Chips and Guacamole,4.45
2,Nantucket Nectar,3.39
1,Izze,3.39
674,Chips and Mild Fresh Tomato Salsa,3.0
233,Chips and Roasted Chili Corn Salsa,2.95
111,Chips and Tomatillo Red Chili Salsa,2.95
38,Chips and Tomatillo Green Chili Salsa,2.95
300,Chips and Tomatillo-Red Chili Salsa,2.39
191,Chips and Roasted Chili-Corn Salsa,2.39
3,Chips and Tomatillo-Green Chili Salsa,2.39
0,Chips and Fresh Tomato Salsa,2.39
18,Canned Soda,2.18
40,Chips,2.15
6,Side of Chips,1.69
263,Canned Soft Drink,1.25
34,Bottled Water,1.09
